District,Commodity,Arrival_Date,Modal_Price,min_price_zero_flag,is_outlier_iqr,records_aggregated,Year,Month,DayOfWeek,WeekOfYear,Quarter,lag_1,lag_3,lag_7,lag_14,lag_21,lag_30,rolling_mean_7,rolling_mean_30,rolling_std_7,rolling_std_30,days_since_last_observation,month_sin,month_cos,dow_sin,dow_cos,price_change_1d,price_change_7d,price_change_30d
Tuticorin,Banana - Green,2026-06-15,2750.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3000.0,2750.0,3250.0,2750.0,2750.0,3000.0,2964.285714285714,2937.5,172.51638983558837,163.31031388338346,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.08333333333333333,-0.15384615384615385,-0.08333333333333333
Dindigul,Tomato,2026-06-15,3500.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4225.0,4250.0,4325.0,3500.0,3700.0,4200.0,4192.857142857143,3840.0,178.36893280635036,330.00783689750676,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.17159763313609466,-0.1907514450867052,-0.16666666666666666
Nagapattinam,Green Chilli,2026-06-15,5250.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4150.0,4875.0,4875.0,4950.0,4375.0,4025.0,4746.428571428572,4547.5,267.0941514041246,385.6448920427056,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.26506024096385544,0.07692307692307693,0.30434782608695654
Nagapattinam,Coconut,2026-06-15,4425.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,4425.0,4225.0,4325.0,4200.0,4200.0,4250.0,4296.428571428572,4217.5,71.3392298408462,105.2808231547306,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.023121387283236993,0.041176470588235294
Namakkal,Bitter Gourd,2026-06-15,5750.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,5750.0,5625.0,5725.0,6000.0,5850.0,5750.0,5703.571428571428,5780.833333333333,56.69467095137086,189.90507308034893,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.004366812227074236,0.0
Tuticorin,Onion,2026-06-15,3250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,3500.0,3250.0,3250.0,3000.0,3000.0,3250.0,3357.1428571428573,3223.3333333333335,133.63062095621257,187.99455849295612,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.07142857142857142,0.0,0.0
Namakkal,Onion,2026-06-15,2850.0,False,False,6.0,2026.0,6.0,0.0,25.0,2.0,2850.0,2875.0,2825.0,2675.0,2675.0,2675.0,2860.714285714286,2728.3333333333335,78.8684860717505,96.4305479334801,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.008849557522123894,0.06542056074766354
Thiruvellore,Tomato,2026-06-15,4000.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,4000.0,4000.0,4000.0,4000.0,4000.0,3750.0,4000.0,4000.0,0.0,65.65321642986154,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.06666666666666667
Nagapattinam,Cabbage,2026-06-15,3400.0,False,False,4.0,2026.0,6.0,0.0,25.0,2.0,3400.0,3475.0,3550.0,3425.0,3375.0,3275.0,3496.4285714285716,3436.6666666666665,150.9888043784065,121.89829942332426,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,-0.04225352112676056,0.03816793893129771
Namakkal,Pumpkin,2026-06-15,2350.0,False,False,5.0,2026.0,6.0,0.0,25.0,2.0,2225.0,2200.0,2050.0,1850.0,1850.0,1800.0,2139.285714285714,1924.1666666666667,100.88890637018484,146.5822314426928,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.056179775280898875,0.14634146341463414,0.3055555555555556
Nagapattinam,Bitter Gourd,2026-06-15,5750.0,False,False,3.0,2026.0,6.0,0.0,25.0,2.0,5750.0,5750.0,5750.0,5500.0,4750.0,4750.0,5750.0,5200.0,0.0,470.6928129236024,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,0.21052631578947367
Tuticorin,Pumpkin,2026-06-15,2250.0,False,False,2.0,2026.0,6.0,0.0,25.0,2.0,2500.0,2250.0,2750.0,2250.0,2250.0,2500.0,2428.5714285714284,2358.3333333333335,188.98223650460304,145.82307024641625,1.0,1.2246467991473532e-16,-1.0,0.0,1.0,-0.1,-0.18181818181818182,-0.1
